,airport,avg_delay,delay_stddev,max_delay,min_delay,num_fligts
0,ANC,2.4,28.05,344,-23,2539
1,LAX,9.35,33.15,1079,-38,37810
2,SFO,11.72,39.84,1365,-32,27728
3,SEA,6.93,30.98,822,-22,18707
4,LAS,10.92,39.83,1604,-39,25488
5,DEN,15.3,35.35,1104,-34,37515
6,SLC,5.45,30.7,883,-42,19207
7,PDX,4.89,33.68,1058,-22,7938
8,FAI,1.63,31.65,298,-21,342
9,MSP,10.27,37.36,1367,-22,19761
10,PHX,9.13,32.56,1367,-23,28978
11,SJU,13.37,49.43,1215,-28,4924
12,PBG,16.73,37.56,127,-24,67
13,IAG,7.79,37.07,151,-21,70
14,PSE,5.63,46.25,281,-21,145
15,BQN,18.93,84.09,858,-17,226
16,ORD,20.23,43.81,1221,-28,49832
17,GEG,5.68,45.73,896,-23,1856
18,HNL,4.18,46.79,1589,-25,8511
19,ONT,8.86,37.08,1160,-33,3418
20,MCO,11.7,39.42,873,-29,21996
21,BOS,14.55,43.03,1190,-21,18265
22,HIB,6.26,48.9,502,-31,177
23,ABR,23.26,114.75,931,-15,134
24,DFW,13.31,36.88,1264,-23,47462
25,MKE,11.6,45.29,1046,-32,5531
26,IAH,9.36,32.03,1205,-20,29290
27,BNA,9.84,36.79,784,-28,8446
28,BRO,7.73,48.55,452,-19,436
29,VPS,12.37,53.37,562,-19,820
30,BOI,10.72,47.38,846,-22,2031
31,BJI,7.03,72.26,755,-16,136
32,PHL,12.85,40.88,1205,-21,12001
33,SBN,19.4,61.58,720,-48,887
34,EUG,8.76,43.2,488,-19,695
35,IAD,17.08,51.54,1179,-23,7360
36,BUF,12.46,41.52,591,-22,2838
37,PWM,10.89,46.68,459,-19,524
38,JFK,18.96,54.61,1429,-17,17716
39,CRP,8.82,31.78,297,-19,1161
40,PIA,16.28,45.22,311,-21,759
41,FAT,14.21,67.56,1551,-18,1482
42,SMF,8.54,34.4,743,-21,7036
43,AUS,9.74,39.93,1450,-18,7340
44,MCI,7.9,36.09,1252,-24,6950
45,ATL,9.3,32.13,1023,-18,65219
46,JAX,9.32,44.55,1457,-21,3226
47,MFR,9.55,45.65,525,-21,462
48,IDA,6.01,37.32,476,-19,398
49,MSN,10.72,45.96,773,-23,1767
50,DCA,9.2,41.02,1283,-24,13880
51,SAT,8.19,38.41,1557,-27,5571
52,CHS,7.59,36.03,492,-26,1888
53,SBA,10.43,43.35,415,-24,1175
54,IND,10.17,41.59,949,-18,4483
55,CLE,11.45,44.38,925,-21,6498
56,GSP,8.89,33.3,365,-17,1159
57,BDL,10.85,35.67,456,-22,3407
58,RIC,12.73,48.94,874,-20,2636
59,BFL,9.55,49.78,466,-20,502
60,OMA,10.59,54.81,1399,-23,3288
61,RDM,6.0,35.9,240,-19,363
62,FLL,11.68,37.56,1025,-32,15756
63,CID,18.5,53.02,591,-22,1383
64,TPA,9.67,36.21,765,-20,13065
65,SYR,12.64,45.95,434,-24,969
66,ROC,12.51,58.72,1112,-20,1304
67,TYR,10.61,36.24,243,-18,389
68,LAN,16.06,57.66,638,-18,401
69,GSO,13.25,44.84,454,-20,1407
70,EWR,15.13,39.98,1140,-22,17985
71,PBI,13.98,41.82,1053,-22,5247
72,RSW,11.33,39.25,737,-28,7169
73,OAK,7.39,26.82,715,-21,7856
74,PVD,10.16,35.17,477,-24,1950
